,0
0,0.729794095758
1,0.708585891121
2,0.687918405546
3,0.684702736331
4,0.680012670356
5,0.690766096293
6,0.72682293983
7,0.695835925503
8,0.691904485265
9,0.683882589559
10,0.692516518853
11,0.691499387668
12,0.712665803471
13,0.711724580097
14,0.690427090657
15,0.699996674323
16,0.692943850272
17,0.677443936855
18,0.685487470595
19,0.697325209318
20,0.683540568286
21,0.704155699008
22,0.691843746455
23,0.70093012037
24,0.711689616655
25,0.69485204036
26,0.715776134864
27,0.694611876149
28,0.689110901907
29,0.682333732254
30,0.693051785554
31,0.691502804989
32,0.724614598792
33,0.704117314423
34,0.687607441633
35,0.689988164356
36,0.685929116439
37,0.715346883341
38,0.705622903731
39,0.69973394232
40,0.696320311072
41,0.697865736295
42,0.681773457057
43,0.715289537192
44,0.693137872812
45,0.689933233516
46,0.698233103688
47,0.710640956451
48,0.698176288879
49,0.689914261456
50,0.682536147731
51,0.671554035684
52,0.703583144841
53,0.694542511539
54,0.695836417968
55,0.688315821866
56,0.714340177675
57,0.70773717452
58,0.687796040897
59,0.707177000208
60,0.70085921448
61,0.708291535709
62,0.697950177016
63,0.698975173783
64,0.69640838703
65,0.6914973243
66,0.705290607328
67,0.708089071488
68,0.708550306974
69,0.69481456338
70,0.709626467794
71,0.699950914212
72,0.698561223538
73,0.704373077359
74,0.698770734799
75,0.712704866864
76,0.68710078989
77,0.682636776535
78,0.68001866848
79,0.704305725963
80,0.701270596696
81,0.694939732675
82,0.685201609685
83,0.689674158549
84,0.704500625454
85,0.683440606624
86,0.702141361127
87,0.707406853606
88,0.69596666304
89,0.697458161501
90,0.694451478078
91,0.70715046505
92,0.70651449864
93,0.702022081385
94,0.666806763885
95,0.689151932761
96,0.713548878143
97,0.693393540006
98,0.710727843029
99,0.676321068742
