,0
0,0.69042903402
1,0.700494071599
2,0.675516028685
3,0.691409954517
4,0.685441142788
5,0.695687332063
6,0.703078754083
7,0.696827530163
8,0.68500455802
9,0.690012052645
10,0.699346064355
11,0.68371494176
12,0.683396151937
13,0.692329336612
14,0.691499576899
15,0.707363569625
16,0.682822771368
17,0.693081987314
18,0.695254893674
19,0.678056915468
20,0.698837590948
21,0.681885709355
22,0.69753429761
23,0.705702656529
24,0.695664438588
25,0.688125687283
26,0.68075092483
27,0.706678879057
28,0.679246656652
29,0.706931796169
30,0.693332606688
31,0.704340432537
32,0.697700550679
33,0.697959129827
34,0.693660982425
35,0.691453359534
36,0.693180519805
37,0.701829790778
38,0.697835441414
39,0.70930143546
40,0.693974102579
41,0.683798988597
42,0.700836316918
43,0.696002833894
44,0.712213306349
45,0.703738977772
46,0.6911847621
47,0.71380352389
48,0.690753090368
49,0.688085541524
50,0.706727566401
51,0.697472640948
52,0.683262852539
53,0.698620307198
54,0.694335886234
55,0.694129924143
56,0.698506220888
57,0.698567356785
58,0.692041976609
59,0.720298929734
60,0.689811164103
61,0.680708055392
62,0.692504512625
63,0.709263645433
64,0.682538182397
65,0.678216363607
66,0.690443527533
67,0.696509938604
68,0.67176581832
69,0.70006322108
70,0.694841446775
71,0.700145433657
72,0.707991103845
73,0.691660779087
74,0.69343088639
75,0.700618469225
76,0.690080661721
77,0.700009987639
78,0.678464372785
79,0.696582277601
80,0.693199361055
81,0.685214651641
82,0.718878038993
83,0.694116469303
84,0.702788633519
85,0.703824960002
86,0.699294894144
87,0.703555516925
88,0.688007868422
89,0.698308194541
90,0.679697135312
91,0.686485297346
92,0.703758203296
93,0.693192329344
94,0.687603285127
95,0.69295794785
96,0.676176743719
97,0.696056906328
98,0.700571961578
99,0.689496337247
